text,intent
"Government employee promo missing.","Promotion / Pricing"
"Bulk order discount disappeared.","Promotion / Pricing"
"Quantity discount not applied for big order.","Promotion / Pricing"
"Wholesale price not granted at checkout.","Promotion / Pricing"
"B2B pricing not applied to my account.","Promotion / Pricing"
"Volume discount not on my invoice.","Promotion / Pricing"
"Tiered pricing not triggering.","Promotion / Pricing"
"10+ items should get 10% — not applied.","Promotion / Pricing"
"Distributor pricing missing.","Promotion / Pricing"
"Trade pricing requested, not applied.","Promotion / Pricing"
"Custom pricing for my org not visible.","Promotion / Pricing"
"Negotiated rate not honored on this order.","Promotion / Pricing"
"Quote pricing different from invoice.","Promotion / Pricing"
"Holiday sale ending — extended this year?","Promotion / Pricing"
"Sale ended too early — banner said midnight.","Promotion / Pricing"
"Last-day sale rejected at 11:55 PM.","Promotion / Pricing"
"Timezone confusion on sale end.","Promotion / Pricing"
"Sale page says active but checkout doesn't reflect it.","Promotion / Pricing"
"Different sale on landing page than category page.","Promotion / Pricing"
"Sale prices on collection page don't match product page.","Promotion / Pricing"
"Inconsistent sale labeling on the site.","Promotion / Pricing"
"Strikethrough price on product page but full price in cart.","Promotion / Pricing"
"Discount tag visible but checkout shows MSRP.","Promotion / Pricing"
"Bundle price says $50 saved, only $20 deducted.","Promotion / Pricing"
"Buy more save more not working.","Promotion / Pricing"
"Mystery sale on homepage not actually applied.","Promotion / Pricing"
"Flash sale not loading items.","Promotion / Pricing"
"Limited-time deal expired in cart timer error.","Promotion / Pricing"
"Cart timer countdown broken.","Promotion / Pricing"
"Promo countdown timer didn't end the promo.","Promotion / Pricing"
"Code worked in incognito but not logged in.","Promotion / Pricing"
"Code applies before login, then removed.","Promotion / Pricing"
"Cannot apply code as guest.","Promotion / Pricing"
"Coupon stack doesn't work for guests.","Promotion / Pricing"
"Newsletter signup code email never came.","Promotion / Pricing"
"Welcome offer email missing.","Promotion / Pricing"
"Promo email said use code but no code in email.","Promotion / Pricing"
"Code in marketing email was already used.","Promotion / Pricing"
"Forwarded code from friend rejected — not transferable?","Promotion / Pricing"
"Influencer claimed code stack — they don't.","Promotion / Pricing"
"Affiliate website code blacklisted.","Promotion / Pricing"
"Aggregator coupon site code invalid.","Promotion / Pricing"
"Browser extension coupon failed to apply.","Promotion / Pricing"
"Cart price differs from product page — bug?","Promotion / Pricing"
"Mini cart price wrong vs cart page.","Promotion / Pricing"
"Item price changed after I added to cart.","Promotion / Pricing"
"Saved cart shows old prices.","Promotion / Pricing"
"Wishlist prices stale.","Promotion / Pricing"
"Compared prices on same SKU, different per page.","Promotion / Pricing"
"International price doesn't convert at correct rate.","Promotion / Pricing"
"Loyalty currency conversion off.","Promotion / Pricing"
"Points value calculation wrong.","Promotion / Pricing"
"Reward calculation gave me less.","Promotion / Pricing"
"Price markdown sign on shelf, full price online.","Promotion / Pricing"
"In-store vs online price mismatch.","Promotion / Pricing"
"Buy online pickup in store price different.","Promotion / Pricing"
"BOPIS discount not honored.","Promotion / Pricing"
"Curbside pickup promo missing.","Promotion / Pricing"
"Different prices for same item online and app.","Promotion / Pricing"
"Final price calculation different on each refresh.","Promotion / Pricing"
"Discount visible only intermittently.","Promotion / Pricing"
"Promo applies sometimes, not always.","Promotion / Pricing"
"A/B test gave me a different price — that's unfair.","Promotion / Pricing"
"Do you have this in stock?","Other"
"What are your store hours?","Other"
"Just wanted to say I love the product!","Other"
"Where can I find the size guide?","Other"
"Can I gift wrap this?","Other"
"Do you ship to Canada?","Other"
"How do I leave a review?","Other"
"What's your return policy?","Other"
"Is there a warranty on this item?","Other"
"When is your next sale?","Other"
"Do you have a physical store?","Other"
"Where is your nearest location?","Other"
"Are you open on Sundays?","Other"
"What time does the store close?","Other"
"What's your phone number?","Other"
"Do you have a phone hotline?","Other"
"How can I contact customer service?","Other"
"Where can I find your email address?","Other"
"Is there a live chat option?","Other"
"What time zone is your support team in?","Other"
"Is the blue version available?","Other"
"Do you restock often?","Other"
"When will item X be back in stock?","Other"
"Email me when this restocks please.","Other"
"Sold out — any restock plans?","Other"
"Notify me when back in stock?","Other"
"Backorder available for this product?","Other"
"Pre-order option for the next release?","Other"
"Out of stock notification email?","Other"
"Is this discontinued?","Other"
"Do you ship internationally?","Other"
"Do you deliver to Mexico?","Other"
"What countries do you ship to?","Other"
"Is shipping available to Norway?","Other"
"Do you serve military APO addresses?","Other"
"Can you ship to a PO box?","Other"
"Do you offer freight shipping for big items?","Other"
"Same-day delivery available in my city?","Other"
"Do you have local delivery in NYC?","Other"
"Curbside pickup possible?","Other"
"How long do returns take to process?","Other"
"Is the return label free?","Other"
"How long is the return window?","Other"
"Can I return in store?","Other"
"Do you accept opened items for return?","Other"
"Are sale items returnable?","Other"
"What's the policy on final sale items?","Other"
"Is there a restocking fee?","Other"
"Do you exchange for different size?","Other"
"Exchange policy for gifts?","Other"
"What's the warranty period?","Other"
"Is there an extended warranty option?","Other"
"Does warranty cover accidental damage?","Other"
"Manufacturer warranty info please.","Other"
"Where do I claim warranty?","Other"
"Lifetime warranty? Really?","Other"
"Warranty transferable to new owner?","Other"
"Replacement parts under warranty?","Other"
"How do I register for warranty?","Other"
"What voids the warranty?","Other"
"Do you offer gift wrap?","Other"
"Can I include a gift note?","Other"
"Is gift wrap free this season?","Other"
"Gift receipt option available?","Other"
"Can I send to a different address as a gift?","Other"
"Do you do gift boxes?","Other"
"Personalized gift options?","Other"
"Custom engraving available?","Other"
"Monogramming on bags?","Other"
"Gift card available in higher denominations?","Other"
"Just wanted to say great service today!","Other"
"Love your products, keep it up!","Other"
"Amazing experience, will buy again.","Other"
"Quick shipping, very impressed.","Other"
"Customer service rep was so helpful, thanks.","Other"
"Happy with my purchase.","Other"
"Your packaging is so cute, well done.","Other"
"Five stars across the board!","Other"
"Brand loyalty earned, thanks for the quality.","Other"
"Best shopping experience in a while!","Other"
"Need help choosing between two products.","Other"
"Which model is better for daily use?","Other"
"Difference between basic and pro version?","Other"
"Recommend based on these needs please.","Other"
"What's your bestseller?","Other"
"Most popular item in this category?","Other"
"Editor's pick for beginners?","Other"
"Suggested upgrade path from version 1?","Other"
"Better for gifting — A or B?","Other"
"Customer favorite for sensitive skin?","Other"
"What materials are used in this product?","Other"
"Where is this manufactured?","Other"
"Country of origin for this item?","Other"
"Ethically sourced ingredients?","Other"
"Sustainability info please.","Other"
"Do you use recycled materials?","Other"
"Vegan or cruelty-free claim verified?","Other"
"Allergen info on this product?","Other"
"Care instructions for the rug?","Other"
"Cleaning tips for this fabric?","Other"
"How do I leave a product review?","Other"
"Cannot post a review — site error.","Other"
"Can I update a review I left?","Other"
"Edit my old review?","Other"
"Delete my review please.","Other"
"Anonymous review option?","Other"
"Review verified buyer only?","Other"
"Photo upload limit in reviews?","Other"
"Video reviews accepted?","Other"
"Why was my review removed?","Other"
"Subscription pause possible?","Other"
"Skip next month's subscription?","Other"
"Change subscription frequency?","Other"
"Subscription customization options?","Other"
"Different products each month — possible?","Other"
"Curate the box myself?","Other"
"Surprise me option for next box?","Other"
"Cancel after 3 months — any fee?","Other"
"Gift the subscription?","Other"
"Pause for vacation, please.","Other"
"Career opportunities at your company?","Other"
"Where do I apply for a job?","Other"
"Are you hiring?","Other"
"Internship programs available?","Other"
"Wholesale or B2B inquiries?","Other"
"Partnership opportunities?","Other"
"Press contact email please.","Other"
"Influencer collaboration program?","Other"
"Affiliate program details?","Other"
"Becoming a vendor — process?","Other"
"Are you signed up for a loyalty program?","Other"
"How do I join your rewards?","Other"
"Loyalty tiers explained?","Other"
"Reward redemption options?","Other"
"Birthday gift from your loyalty program?","Other"
"Anniversary perk explained?","Other"
"Member-only events?","Other"
"Early access for VIPs?","Other"
"Reward expiry timeline?","Other"
"Transfer points to someone else?","Other"
"Mobile app vs website difference?","Other"
"App-exclusive features?","Other"
"Issue with mobile app login.","Other"
"App crashes when I add to cart.","Other"
"Notifications not working on app.","Other"
"App version is outdated, when's the update?","Other"
"Push notification preferences?","Other"
"Dark mode in the app?","Other"
"Accessibility options in the app?","Other"
"Screen reader compatibility?","Other"
"Just curious about your sourcing.","Other"
"Where does your cotton come from?","Other"
"Fair trade certifications?","Other"
"Labor practices info please.","Other"
"Animal testing policy?","Other"
"Are you carbon neutral?","Other"
"Recycling program for packaging?","Other"
"Trade-in program for old products?","Other"
"Donation matching available?","Other"
"Charity partnerships?","Other"
"Newsletter signup link?","Other"
"Unsubscribe from emails.","Other"
"Frequency of marketing emails too high.","Other"
"Switch to less frequent emails?","Other"
"Email preferences page?","Other"
"SMS opt-out instructions?","Other"
"Push notification opt-out?","Other"
"Direct mail catalog request?","Other"
"Stop sending me catalogs please.","Other"
"Add me to mailing list.","Other"
"Browser compatibility — Safari?","Other"
"Old browser, does your site work?","Other"
"Site keeps freezing in Firefox.","Other"
"Slow page load — is it your server?","Other"
"Mobile site bug to report.","Other"
"Search bar not returning correct results.","Other"
"Filter for color isn't working.","Other"
"Pagination issue on category page.","Other"
"Image zoom not loading.","Other"
"Product video missing on some pages.","Other"
"What's the difference between two SKUs?","Other"
"Specs comparison tool?","Other"
"Side-by-side product compare?","Other"
"Detailed dimensions for the desk?","Other"
"Weight of the product?","Other"
"Voltage requirement?","Other"
"Wattage usage of the appliance?","Other"
"Battery type for the remote?","Other"
"Compatible with my older model?","Other"
"Backward compatibility for accessories?","Other"
"Inquiry about a new product launch.","Other"
"When's your next collection drop?","Other"
"Upcoming season previews?","Other"
"Spring collection release date?","Other"
"Limited edition restock date?","Other"
"Collaboration drop release time?","Other"
"Pre-launch waitlist?","Other"
"VIP access to drops?","Other"
"Notify me of all new launches?","Other"
"Just signed up — what's next?","Other"
